Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,0.34,0.452305,0.841738,0.084136,0.422348,1.315048,-0.110812,0.450981,0.788768,0.133064,0.464529,0.66817,0.151226,0.471362,0.594966,0.163066,0.042962,0.071856,0.134163,0.073865,0.099545,0.134931,0.120595,0.059992,0.131598,-0.065575,0.056031,0.135959,0.053785,0.310838,0.172921,0.048147,0.404107,0.177137,0.051715,0.328303,0.174815,0.061493,0.200103,0.16681,0.247458,0.547373,0.170049,0.347561,0.567254,0.168362,0.244482,0.548736,0.170709,0.150333,0.526128,0.171075
35,0.35,0.452329,0.841742,0.084113,0.422353,1.315052,-0.110834,0.45103,0.788775,0.133045,0.464556,0.668173,0.151201,0.471375,0.594968,0.163039,0.04296,0.071839,0.134166,0.073864,0.099527,0.134964,0.120593,0.059976,0.131594,-0.065577,0.056015,0.13594,0.053777,0.310843,0.172912,0.048152,0.404114,0.17713,0.051708,0.328309,0.174806,0.061471,0.200108,0.1668,0.247461,0.547385,0.170063,0.347561,0.56728,0.168394,0.244485,0.548746,0.170728,0.150338,0.526129,0.171067
36,0.36,0.452337,0.841751,0.084117,0.422375,1.315061,-0.110832,0.450984,0.788777,0.133041,0.464567,0.668184,0.151209,0.47142,0.594982,0.163051,0.042928,0.071792,0.134129,0.073819,0.099496,0.134863,0.120568,0.059957,0.131642,-0.065602,0.055922,0.13588,0.053779,0.310867,0.172936,0.048139,0.404136,0.177161,0.05172,0.328332,0.174843,0.061478,0.200133,0.166805,0.247466,0.547388,0.170051,0.347568,0.567272,0.168374,0.244489,0.548751,0.170712,0.150341,0.526141,0.171067
37,0.37,0.452356,0.841735,0.08407,0.422422,1.315045,-0.110883,0.451038,0.788767,0.133001,0.46457,0.668166,0.151162,0.471392,0.594961,0.163002,0.042932,0.071785,0.134136,0.073828,0.099485,0.134834,0.120569,0.059934,0.131649,-0.065601,0.055938,0.135924,0.053792,0.310859,0.172935,0.048154,0.404128,0.177164,0.051724,0.328324,0.174834,0.061498,0.200126,0.166808,0.24747,0.547396,0.17005,0.347572,0.567279,0.16839,0.244492,0.548761,0.170704,0.150345,0.526147,0.171056
38,0.38,0.45239,0.841739,0.08407,0.422464,1.31502,-0.110954,0.451071,0.788778,0.133009,0.464601,0.66818,0.151188,0.471423,0.594977,0.163039,0.04293,0.071788,0.134079,0.073838,0.099473,0.134825,0.120559,0.059913,0.131444,-0.065608,0.055979,0.13597,0.053782,0.310854,0.172909,0.048146,0.404123,0.177139,0.051707,0.328318,0.174801,0.061492,0.20012,0.166786,0.247484,0.547396,0.170056,0.347584,0.567287,0.168384,0.244508,0.548752,0.170739,0.150358,0.526149,0.171044
39,0.39,0.452403,0.841729,0.084056,0.422498,1.315024,-0.110938,0.451067,0.788763,0.132989,0.46461,0.668166,0.151164,0.471439,0.594963,0.163011,0.042922,0.071802,0.134094,0.073817,0.099502,0.134778,0.120559,0.059952,0.131576,-0.06561,0.055952,0.135927,0.053789,0.310886,0.17292,0.048159,0.404155,0.177161,0.051715,0.328351,0.174815,0.061492,0.200153,0.166785,0.247475,0.547401,0.17001,0.347575,0.567293,0.168329,0.244498,0.548761,0.170678,0.150351,0.526148,0.171022
40,0.4,0.452393,0.841756,0.084166,0.422458,1.315207,-0.110446,0.451064,0.788752,0.133057,0.464609,0.66814,0.151133,0.471439,0.594927,0.162921,0.042966,0.071869,0.134206,0.073861,0.099567,0.134983,0.120603,0.060027,0.131672,-0.065567,0.056013,0.135963,0.053799,0.310866,0.172926,0.048156,0.404136,0.177128,0.051742,0.328332,0.174831,0.0615,0.200131,0.16682,0.247477,0.547393,0.170016,0.347582,0.567266,0.168344,0.2445,0.548759,0.170668,0.150351,0.526154,0.171035
41,0.41,0.452409,0.841781,0.084127,0.422528,1.315183,-0.110611,0.451079,0.78879,0.133033,0.464605,0.668181,0.15114,0.471424,0.59497,0.162948,0.042941,0.071819,0.134157,0.07384,0.099516,0.134815,0.120576,0.059955,0.131661,-0.065594,0.055987,0.135996,0.053785,0.310879,0.172905,0.048153,0.40415,0.177108,0.051711,0.328344,0.174792,0.06149,0.200143,0.166816,0.247484,0.547399,0.170014,0.347589,0.567269,0.168353,0.244505,0.54877,0.170651,0.150357,0.526159,0.171037
42,0.42,0.452526,0.841733,0.084012,0.422821,1.315086,-0.110871,0.451168,0.788757,0.132932,0.464659,0.66815,0.151079,0.471456,0.594941,0.162909,0.042931,0.071797,0.134156,0.073836,0.099486,0.134868,0.120564,0.059922,0.13163,-0.065607,0.055982,0.135969,0.053787,0.310869,0.172883,0.048158,0.404138,0.177116,0.051725,0.328334,0.174786,0.061477,0.200135,0.166747,0.247486,0.547424,0.170029,0.347585,0.567323,0.168372,0.244508,0.548789,0.170681,0.150365,0.52616,0.171033
43,0.43,0.452529,0.84173,0.08404,0.422871,1.315081,-0.110854,0.451153,0.788753,0.13296,0.464646,0.668146,0.151111,0.471444,0.594938,0.162944,0.042927,0.071837,0.134178,0.07382,0.099538,0.134906,0.120566,0.059994,0.131698,-0.065605,0.055978,0.135932,0.053813,0.310858,0.172828,0.048204,0.404129,0.177033,0.051714,0.328323,0.174689,0.06152,0.200121,0.166764,0.247489,0.547422,0.169993,0.347593,0.5673,0.168319,0.244512,0.548787,0.170649,0.150363,0.52618,0.171012
